zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
19943,498,468,$601
19944,54,41,$501
19945,622,556,$603
19946,202,191,$576
19947,857,760,$577
19950,341,314,$563
19951,167,150,$616
19952,454,427,$592
19953,224,210,$551
19954,82,*,*
19955,*,*,*
19956,745,693,$586
19958,"2,083","1,808",$601
19960,373,356,$537
19961,*,*,*
19962,455,405,$597
19963,"1,179","1,087",$579
19964,49,*,*
19966,"1,752","1,612",$640
19967,127,110,$630
19968,908,806,$570
19969,*,*,*
19970,584,511,$586
19971,"1,239","1,064",$600
19973,"1,151","1,064",$583
19975,576,490,$590
19977,907,839,$572
19979,41,*,*
19980,*,*,*
20135,*,*,*
24701,631,606,"$1,009"
24712,52,*,*
24714,*,*,*
24715,15,*,*
24716,*,*,*
24719,*,*,*
24724,*,*,*
24726,25,*,*
24729,*,*,*
24731,*,*,*
24733,17,*,*
24736,17,*,*
24737,12,*,*
24738,*,*,*
24739,367,353,"$1,045"
24740,563,551,$987
24747,57,*,*
24751,*,*,*
24801,57,*,*
24808,*,*,*
24811,*,*,*
24813,*,*,*
24815,*,*,*
24816,*,*,*
24817,*,*,*
24818,17,*,*
24822,16,*,*
24823,11,*,*
24826,*,*,*
24827,33,*,*
24828,11,*,*
24831,*,*,*
24836,11,*,*
24839,27,*,*
24843,*,*,*
24844,39,*,*
24845,*,*,*
24846,*,*,*
24847,*,*,*
24848,*,*,*
24849,*,*,*
24850,19,*,*
24851,12,*,*
24853,*,*,*
24854,14,*,*
24855,*,*,*
24857,19,*,*
24860,*,*,*
24861,*,*,*
24862,11,*,*
24866,*,*,*
24867,*,*,*
24868,25,*,*
24869,12,*,*
24870,67,*,*
24871,*,*,*
24872,12,*,*
24873,16,*,*
24874,64,*,*
24878,*,*,*
24879,14,*,*
24880,*,*,*
24881,14,*,*
24882,*,*,*
24884,12,*,*
24888,*,*,*
24892,22,*,*
24894,*,*,*
24898,*,*,*
24901,476,461,$994
24902,*,*,*
24910,133,*,*
24915,22,*,*
24916,12,*,*
24918,38,*,*
24920,16,*,*
24924,21,*,*
24925,47,*,*
24927,17,*,*
24931,51,*,*
24934,22,*,*
24935,12,*,*
24938,57,*,*
24941,39,*,*
24944,17,*,*
24945,14,*,*
24946,41,*,*
24951,51,*,*
24954,110,*,*
24957,19,*,*
24962,*,*,*
24963,137,*,*
24966,59,*,*
24970,165,*,*
24974,12,*,*
24976,58,*,*
24977,12,*,*
24981,11,*,*
24983,99,*,*
24984,14,*,*
24985,12,*,*
24986,212,*,*
24991,20,*,*
24993,*,*,*
25002,*,*,*
25003,60,*,*
25005,*,*,*
25007,*,*,*
25008,*,*,*
25009,22,*,*
25011,*,*,*
25015,110,*,*
25019,11,*,*
25022,*,*,*
25024,13,*,*
25025,*,*,*
25026,*,*,*
25028,*,*,*
25030,*,*,*
25031,13,*,*
25033,64,*,*
25035,32,*,*
25036,*,*,*
25039,30,*,*
25040,13,*,*
25043,37,*,*
25044,*,*,*
25045,122,*,*
25047,*,*,*
25048,*,*,*
25049,17,*,*
25051,*,*,*
25053,91,*,*
25054,*,*,*
25057,*,*,*
25059,12,*,*
25060,13,*,*
25061,17,*,*
25062,*,*,*
25063,22,*,*
25064,269,*,*
25067,26,*,*
25070,26,*,*
25071,307,296,"$1,067"
25075,14,*,*
25076,*,*,*
25079,*,*,*
25081,23,*,*
25082,55,*,*
25083,22,*,*
25085,25,*,*
25086,16,*,*
25088,*,*,*
25090,*,*,*
25093,*,*,*
25102,*,*,*
25103,12,*,*
25106,14,*,*
25107,*,*,*
25108,25,*,*
25109,17,*,*
25110,*,*,*
25111,20,*,*
25112,*,*,*
25113,26,*,*
25114,19,*,*
25118,20,*,*
25119,13,*,*
25121,12,*,*
25123,71,*,*
25124,24,*,*
25125,30,*,*
25126,*,*,*
25130,106,*,*
25132,*,*,*
25133,26,*,*
25134,*,*,*
25136,38,*,*
25139,*,*,*
25140,*,*,*
25141,*,*,*
25142,*,*,*
25143,269,*,*
25148,*,*,*
25149,*,*,*
25152,*,*,*
25154,*,*,*
25156,*,*,*
25159,156,*,*
25160,*,*,*
25161,14,*,*
25162,11,*,*
25164,31,*,*
25165,16,*,*
25168,67,*,*
25169,14,*,*
25173,*,*,*
25174,*,*,*
25177,674,659,"$1,085"
25180,*,*,*
25181,39,*,*
25186,29,*,*
25187,17,*,*
