zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
36320,328,*,*
36321,169,*,*
36322,734,710,$684
36323,628,612,$722
36330,"2,335","2,249",$640
36331,*,*,*
36340,489,473,$675
36343,173,*,*
36344,476,456,$668
36345,624,608,$646
36346,120,*,*
36350,693,657,$633
36351,229,*,*
36352,411,387,$665
36353,184,*,*
36360,"1,495","1,440",$670
36361,*,*,*
36362,*,*,*
36370,85,*,*
36371,18,*,*
36373,29,*,*
36374,64,*,*
36375,659,638,$665
36376,245,*,*
36401,598,586,$682
36420,"1,020",994,$690
36421,779,752,$706
36425,73,*,*
36426,"1,229","1,185",$680
36427,*,*,*
36432,204,*,*
36435,27,*,*
36436,45,*,*
36439,11,*,*
36441,306,294,$691
36442,311,294,$761
36444,46,*,*
36445,325,310,$728
36446,14,*,*
36451,338,326,$706
36453,179,168,$763
36454,*,*,*
36455,37,*,*
36456,157,*,*
36458,*,*,*
36460,836,801,$712
36461,*,*,*
36467,890,876,$719
36470,*,*,*
36471,74,*,*
36473,22,*,*
36474,231,*,*
36475,157,*,*
36476,*,*,*
36477,439,426,$698
36480,95,*,*
36481,20,*,*
36482,93,*,*
36483,37,*,*
36502,"1,646","1,591",$680
36503,*,*,*
36504,*,*,*
36505,152,*,*
36507,"1,794","1,755",$664
36509,291,*,*
36511,107,*,*
36512,*,*,*
36513,36,*,*
36518,174,*,*
36521,458,444,$641
36522,738,726,$640
36523,290,*,*
36524,92,*,*
36525,206,*,*
36526,"2,800","2,666",$597
36527,"1,106","1,027",$602
36528,119,*,*
36529,38,*,*
36530,975,931,$667
36532,"3,026","2,791",$628
36533,*,*,*
36535,"4,457","4,319",$668
36536,20,*,*
36538,21,*,*
36539,54,*,*
36540,98,*,*
36541,"1,432","1,396",$635
36542,"2,246","2,131",$643
36543,*,*,*
36544,"1,334","1,308",$660
36545,755,726,$682
36547,16,*,*
36548,70,*,*
36549,430,417,$747
36550,27,*,*
36551,850,818,$642
36553,438,*,*
36555,122,*,*
36556,23,*,*
36558,296,284,$717
36559,*,*,*
36560,372,*,*
36561,"1,051",968,$670
36562,178,*,*
36564,14,*,*
36567,"1,522","1,469",$632
36568,23,*,*
36569,53,*,*
36571,"1,215","1,170",$625
36572,427,410,$638
36574,125,*,*
36575,"1,752","1,704",$634
36576,564,550,$640
36578,162,*,*
36579,153,*,*
36580,785,757,$681
36581,15,*,*
36582,"2,497","2,424",$648
36583,50,*,*
36584,75,*,*
36585,63,*,*
36587,"1,055","1,030",$655
36590,*,*,*
36601,58,*,*
36602,138,*,*
36603,"1,049","1,030",$652
36604,"1,071","1,020",$634
36605,"3,982","3,896",$625
36606,"2,569","2,490",$616
36607,749,727,$628
36608,"3,644","3,483",$594
36609,"2,597","2,511",$597
36610,"1,964","1,916",$635
36611,824,800,$611
36612,634,*,*
36613,"1,402","1,380",$631
36615,*,*,*
36616,11,*,*
36617,"2,081","2,042",$653
36618,"2,023","1,958",$618
36619,"1,600","1,555",$629
36625,*,*,*
36628,*,*,*
36630,*,*,*
36633,*,*,*
36640,*,*,*
36641,*,*,*
36644,*,*,*
36652,*,*,*
36660,*,*,*
36670,*,*,*
36671,*,*,*
36675,*,*,*
36685,*,*,*
36688,15,*,*
36689,11,*,*
36691,*,*,*
36693,"1,725","1,640",$621
36695,"4,135","3,968",$602
36701,"2,320","2,267",$670
36702,21,*,*
36703,"1,092","1,077",$711
36720,44,*,*
36722,25,*,*
36723,*,*,*
36726,272,258,$733
36727,*,*,*
36728,35,*,*
36732,544,524,$646
36736,118,*,*
36738,79,*,*
36740,80,*,*
36741,*,*,*
36742,196,185,$660
36744,526,510,$658
36745,*,*,*
36748,223,*,*
36749,62,*,*
36750,240,*,*
36751,77,*,*
36752,109,*,*
36754,21,*,*
36756,484,466,$667
36758,98,*,*
36759,128,*,*
36761,94,*,*
36762,*,*,*
36763,*,*,*
36764,*,*,*
36765,100,*,*
36766,*,*,*
36767,207,*,*
36768,55,*,*
36769,145,*,*
36773,56,*,*
36775,66,*,*
36776,116,*,*
36782,112,*,*
36783,52,*,*
36784,621,592,$664
36785,103,*,*
36786,306,*,*
36790,22,*,*
36792,89,*,*
36793,32,*,*
36801,"2,388","2,296",$648
36802,*,*,*
36803,*,*,*
36804,"1,872","1,815",$658
36830,"2,631","2,456",$590
36831,12,*,*
36832,"1,639","1,554",$602
36849,*,*,*
36850,229,*,*
36851,*,*,*
36852,220,*,*
36853,641,605,$683
36854,"1,877","1,846",$621
36855,137,*,*
36856,369,*,*
36858,52,*,*
36860,174,*,*
36861,202,*,*
36862,604,*,*
36863,"1,388","1,361",$659
36865,*,*,*
36866,339,*,*
36867,"1,888","1,835",$685
36868,14,*,*
36869,"1,952","1,892",$707
36870,"1,321","1,280",$683
36871,99,*,*
36874,626,608,$688
36875,362,351,$744
36877,896,847,$689
36879,209,188,$544
36901,36,*,*
36904,299,287,$705
36907,162,*,*
36908,222,*,*
36910,*,*,*
36912,189,*,*
36913,*,*,*
36915,48,*,*
36916,41,*,*
36919,176,*,*
36921,79,*,*
36922,58,*,*
36925,330,*,*
37010,193,173,$636
37011,34,*,*
37012,158,*,*
37013,"13,454","13,026",$520
37014,171,137,$622
37015,"1,391","1,315",$629
37016,66,*,*
37018,232,*,*
37019,62,*,*
37020,325,308,$642
37022,377,360,$660
37023,119,*,*
37024,16,*,*
37025,483,467,$728
37026,170,*,*
37027,"3,433","2,697",$536
37028,30,*,*
37029,341,313,$671
37030,492,*,*
37031,245,232,$602
37032,233,*,*
37033,514,487,$689
37034,449,425,$685
37035,242,227,$618
37036,453,438,$676
37037,444,408,$569
37040,"3,789","3,637",$573
37041,*,*,*
37042,"5,366","5,170",$569
37043,"2,620","2,428",$581
37044,*,*,*
37046,349,287,$598
37047,117,*,*
37048,355,339,$603
37049,281,269,$608
37050,119,*,*
37051,250,*,*
37052,133,*,*
37055,"2,020","1,942",$666
37056,*,*,*
37057,87,*,*
37058,394,382,$711
37059,131,*,*
37060,168,149,$608
37061,320,*,*
37062,785,739,$544
37063,*,*,*
37064,"3,952","3,362",$538
37065,*,*,*
37066,"3,927","3,696",$575
37067,"1,841","1,577",$519
37068,*,*,*
37069,"1,210",951,$514
37070,*,*,*
37071,*,*,*
37072,"2,740","2,584",$583
37073,778,726,$627
37074,528,509,$664
37075,"4,312","3,937",$557
37076,"3,354","3,150",$543
37077,*,*,*
37078,68,*,*
37079,152,*,*
37080,578,548,$626
37082,428,386,$595
37083,"1,148","1,126",$700
37085,211,192,$554
37086,"4,327","4,210",$544
37087,"4,048","3,852",$591
37088,*,*,*
37089,*,*,*
37090,"1,292","1,199",$601
37091,"1,554","1,510",$681
37095,169,157,$700
37096,380,*,*
37097,154,*,*
37098,408,*,*
37101,399,*,*
37110,"2,590","2,537",$719
37111,*,*,*
37115,"5,146","4,929",$547
37116,14,*,*
37118,59,*,*
37121,12,*,*
37122,"3,876","3,540",$553
37127,"1,425","1,343",$557
37128,"5,780","5,494",$535
37129,"4,332","4,098",$545
37130,"4,594","4,356",$553
37132,*,*,*
37133,14,*,*
37134,149,*,*
37135,"1,169","1,016",$530
37136,*,*,*
37137,260,*,*
37138,"1,779","1,614",$580
37140,37,*,*
37141,62,*,*
37142,104,*,*
37143,287,268,$602
37144,198,*,*
37145,136,*,*
37146,382,353,$608
37148,"1,524","1,448",$602
37149,144,131,$689
37150,367,*,*
37151,28,*,*
37152,*,*,*
37153,343,325,$611
37160,"2,517","2,452",$661
37162,*,*,*
37165,*,*,*
37166,"1,213","1,178",$717
37167,"7,625","7,395",$528
37171,73,*,*
37172,"2,443","2,347",$589
37174,"2,650","2,476",$563
37175,74,*,*
37178,121,*,*
37179,872,762,$494
37180,190,*,*
37181,80,*,*
37183,159,*,*
37184,348,335,$639
37185,599,578,$730
37186,751,728,$683
37187,495,473,$676
37188,945,895,$573
37189,358,332,$588
37190,655,632,$736
37191,221,209,$607
37201,154,136,$543
37202,23,*,*
37203,"2,662","2,292",$571
37204,"1,153",877,$489
37205,"1,381","1,006",$527
37206,"3,382","2,977",$507
37207,"5,356","5,080",$557
37208,"2,829","2,601",$562
37209,"4,077","3,680",$510
37210,"2,635","2,503",$532
37211,"10,299","9,847",$506
37212,904,729,$513
37213,20,*,*
37214,"3,086","2,863",$534
37215,"1,208",833,$517
37216,"2,212","1,977",$490
37217,"4,961","4,792",$523
37218,"1,514","1,429",$582
37219,149,124,$536
37220,385,281,$527
37221,"2,754","2,385",$545
37222,*,*,*
37224,*,*,*
37227,*,*,*
37228,226,197,$519
37229,*,*,*
37230,*,*,*
37232,*,*,*
37235,*,*,*
37236,*,*,*
37238,*,*,*
37240,*,*,*
37242,*,*,*
37243,*,*,*
37244,*,*,*
37246,*,*,*
37250,*,*,*
37301,166,*,*
37302,297,246,$507
37303,"1,991","1,941",$609
37304,*,*,*
37305,77,*,*
37306,178,*,*
37307,360,*,*
37308,225,*,*
37309,207,*,*
37310,307,291,$603
37311,"2,720","2,614",$564
37312,"2,670","2,516",$555
37313,182,*,*
37314,*,*,*
37315,16,*,*
37317,236,*,*
37318,138,*,*
37320,12,*,*
37321,"1,379","1,322",$586
37322,707,692,$623
37323,"2,471","2,328",$599
37324,472,457,$600
37325,143,*,*
37326,20,*,*
37327,920,894,$606
37328,123,*,*
37329,387,*,*
37330,473,460,$639
37331,533,516,$627
37332,159,*,*
37333,56,*,*
37334,"1,525","1,480",$703
37335,198,*,*
37336,325,313,$636
37337,124,*,*
37338,266,*,*
37339,169,*,*
37340,65,*,*
37341,734,691,$578
37342,287,275,$687
37343,"2,823","2,629",$566
37345,145,*,*
37347,600,560,$639
37348,102,*,*
37349,11,*,*
37350,114,80,$528
37351,39,*,*
37352,156,*,*
37353,376,343,$592
37354,"1,312","1,269",$601
37355,"2,108","2,047",$674
37356,205,188,$645
37357,445,430,$750
37359,45,*,*
37360,105,*,*
37361,158,*,*
37362,293,*,*
37363,"2,330","2,071",$551
37364,*,*,*
37365,157,*,*
37366,68,*,*
37367,766,744,$634
37369,58,*,*
37370,363,352,$657
37371,*,*,*
37373,228,*,*
37374,144,*,*
37375,153,*,*
37376,33,*,*
37377,953,824,$513
37378,*,*,*
37379,"1,666","1,574",$585
37380,491,473,$624
37381,712,695,$618
37382,*,*,*
37383,*,*,*
37384,*,*,*
37385,608,589,$617
37387,362,*,*
37388,"1,788","1,728",$667
37389,*,*,*
37391,126,*,*
37394,*,*,*
37396,43,*,*
37397,767,730,$609
37398,"1,152","1,104",$588
37401,20,*,*
37402,653,608,$592
37403,494,443,$558
37404,"1,742","1,670",$526
37405,"1,393","1,208",$521
37406,"1,608","1,559",$552
37407,"1,435","1,407",$503
37408,361,314,$493
37409,305,270,$472
37410,614,598,$551
37411,"2,088","1,989",$557
37412,"1,898","1,796",$567
37414,*,*,*
37415,"1,916","1,711",$532
37416,"1,209","1,152",$577
37419,511,480,$581
37421,"4,001","3,660",$560
37422,14,*,*
37424,*,*,*
37450,*,*,*
37501,11,*,*
37544,*,*,*
37601,"3,062","2,946",$599
37602,*,*,*
37604,"2,880","2,718",$579
37605,11,*,*
37614,*,*,*
37615,"1,456","1,365",$622
37616,358,*,*
37617,959,923,$631
37618,881,851,$625
37620,"2,757","2,668",$642
37621,*,*,*
37625,*,*,*
37640,296,277,$698
37641,657,646,$634
37642,"1,055","1,029",$670
37643,"2,493","2,415",$638
37644,*,*,*
37645,273,262,$686
37650,860,831,$640
37656,249,232,$636
37657,58,*,*
37658,313,*,*
37659,"1,886","1,790",$627
37660,"3,335","3,205",$620
37662,*,*,*
37663,934,887,$616
37664,"1,974","1,889",$621
37665,490,474,$616
37680,50,*,*
37681,426,407,$667
37682,13,*,*
37683,849,827,$644
37684,*,*,*
37686,509,487,$614
37687,373,360,$671
37688,65,54,$696
37690,323,312,$646
37691,80,*,*
37692,318,*,*
37694,172,*,*
37701,574,543,$561
37705,305,292,$603
37708,619,599,$590
37709,296,*,*
37710,92,*,*
37711,421,406,$650
37713,119,*,*
37714,353,*,*
37715,77,*,*
37716,"1,755","1,689",$569
37717,*,*,*
37719,11,*,*
37721,827,790,$549
37722,653,641,$603
37723,89,*,*
37724,232,*,*
37725,"1,424","1,349",$592
37726,173,*,*
37727,190,*,*
37729,88,*,*
37730,*,*,*
37731,60,*,*
37732,*,*,*
37733,*,*,*
37737,386,368,$603
37738,813,784,$533
37742,372,356,$595
37743,"1,973","1,920",$625
37744,*,*,*
37745,"1,396","1,352",$614
37748,"1,207","1,164",$555
37752,338,324,$587
37753,67,*,*
37754,298,*,*
37755,221,*,*
37756,169,*,*
37757,647,615,$568
37760,932,904,$561
37762,206,*,*
37763,821,760,$582
37764,"1,050",988,$544
37765,40,*,*
37766,"1,624","1,579",$591
37769,476,*,*
37770,164,*,*
37771,"1,248","1,179",$540
37772,880,802,$544
37773,*,*,*
37774,"1,323","1,220",$602
37777,793,741,$540
37779,321,*,*
37801,"1,985","1,879",$556
37802,16,*,*
37803,"1,827","1,710",$554
37804,"1,549","1,450",$557
37806,274,*,*
37807,785,764,$594
37809,179,*,*
37810,165,*,*
37811,308,287,$665
37813,"1,598","1,556",$543
37814,"2,783","2,672",$534
37815,*,*,*
37816,*,*,*
37818,425,*,*
37819,44,*,*
37820,579,562,$592
37821,"2,259","2,175",$586
37822,12,*,*
37824,12,*,*
37825,613,595,$589
37826,309,*,*
37828,55,*,*
37829,98,*,*
37830,"2,088","1,946",$527
37831,*,*,*
37840,661,623,$578
37841,683,657,$563
37843,325,313,$619
37845,30,*,*
37846,395,*,*
37847,184,*,*
37848,28,*,*
37849,"1,631","1,554",$545
37851,*,*,*
37852,202,*,*
37853,272,259,$566
37854,916,889,$629
37857,"1,568","1,533",$682
37860,271,*,*
37861,643,609,$587
37862,"2,743","2,604",$517
37863,"1,215","1,179",$505
37864,18,*,*
37865,"1,618","1,556",$550
37866,155,*,*
37867,*,*,*
37868,*,*,*
37869,463,*,*
37870,330,316,$630
37871,687,658,$574
37872,145,*,*
37873,330,315,$653
37874,"1,285","1,248",$583
37876,"2,980","2,823",$563
37877,620,595,$575
37878,35,*,*
37879,876,845,$587
37880,314,293,$638
37881,202,*,*
37882,266,252,$615
37885,418,384,$612
37886,334,321,$578
37887,267,*,*
37888,215,204,$610
37890,575,556,$563
37891,318,306,$599
37892,158,145,$608
37901,13,*,*
37902,164,138,$510
37909,"1,117","1,029",$486
37912,"2,037","1,933",$523
37914,"2,145","2,075",$542
37915,875,849,$539
37916,100,89,$419
37917,"2,983","2,815",$521
37918,"3,311","3,112",$527
37919,"1,987","1,757",$504
37920,"3,419","3,240",$528
37921,"2,647","2,511",$513
37922,"2,266","1,927",$499
37923,"2,307","2,144",$519
37924,"1,065","1,020",$541
37927,12,*,*
37928,*,*,*
37929,*,*,*
37930,*,*,*
37931,"2,017","1,852",$529
37932,"1,459","1,308",$520
37933,*,*,*
37934,"1,497","1,274",$492
37938,928,866,$549
37939,*,*,*
37940,*,*,*
37950,*,*,*
37995,*,*,*
37996,*,*,*
37998,*,*,*
38001,374,*,*
38002,"2,551","2,324",$499
38004,461,440,$526
38006,291,*,*
38007,*,*,*
38008,861,843,$650
38010,*,*,*
38011,544,517,$583
38012,"1,183","1,146",$586
38014,*,*,*
38015,181,*,*
38016,"4,232","4,036",$514
38017,"3,160","2,818",$505
38018,"3,008","2,805",$521
38019,"1,232","1,203",$578
38021,*,*,*
38023,370,356,$568
38024,"2,231","2,173",$642
38025,*,*,*
38027,*,*,*
38028,454,389,$539
38029,*,*,*
38030,47,*,*
38034,259,*,*
38036,14,*,*
38037,113,*,*
38039,186,*,*
38040,377,*,*
38041,197,*,*
38042,67,*,*
38044,73,*,*
38046,11,*,*
38047,*,*,*
38049,346,324,$608
38050,15,*,*
38052,251,*,*
38053,"1,873","1,769",$576
38054,*,*,*
38057,358,347,$567
38058,629,602,$539
38059,431,*,*
38060,739,711,$551
38061,67,*,*
38063,"1,268","1,248",$571
38066,198,180,$571
38067,99,*,*
38068,826,791,$581
38069,220,*,*
38070,12,*,*
38075,360,*,*
38076,57,*,*
38079,293,*,*
38080,199,*,*
38083,*,*,*
38088,11,*,*
38101,44,*,*
38103,713,581,$535
38104,"2,105","1,901",$529
38105,"1,148","1,123",$571
38106,"4,314","4,215",$572
38107,"2,464","2,393",$569
38108,"2,567","2,510",$551
38109,"6,343","6,175",$569
38111,"4,543","4,338",$526
38112,"1,975","1,877",$535
38113,*,*,*
38114,"4,125","4,009",$566
38115,"4,862","4,739",$508
38116,"5,201","5,053",$540
38117,"1,654","1,453",$509
38118,"5,712","5,565",$527
38119,"1,686","1,547",$523
38120,803,672,$481
38122,"3,101","3,011",$519
38124,*,*,*
38125,"3,483","3,316",$543
38126,951,932,$536
38127,"6,174","6,045",$543
38128,"4,710","4,595",$531
38130,*,*,*
38131,35,*,*
38132,27,*,*
38133,"1,605","1,530",$535
38134,"3,197","3,065",$525
38135,"1,646","1,543",$537
38136,*,*,*
38137,*,*,*
38138,"1,181","1,007",$505
38139,700,546,$490
38141,"2,075","2,022",$556
38148,*,*,*
38150,*,*,*
38152,*,*,*
38157,*,*,*
38159,*,*,*
38161,*,*,*
38163,*,*,*
38166,*,*,*
38167,11,*,*
38168,*,*,*
38173,*,*,*
38174,*,*,*
38175,*,*,*
38177,*,*,*
38181,*,*,*
38182,*,*,*
38183,*,*,*
38184,*,*,*
38186,*,*,*
38187,*,*,*
38188,*,*,*
38190,*,*,*
38194,*,*,*
38201,640,626,$638
38220,137,*,*
38221,278,264,$755
38222,211,*,*
38224,77,*,*
38225,401,384,$680
38226,23,*,*
38229,151,*,*
38230,219,*,*
38231,145,*,*
38232,164,*,*
38233,184,*,*
38235,15,*,*
38236,37,*,*
38237,692,670,$625
38238,*,*,*
38240,136,*,*
38241,49,*,*
38242,"1,541","1,479",$667
38251,151,*,*
38253,63,*,*
38254,*,*,*
38255,152,*,*
38256,283,*,*
38257,234,*,*
38258,116,*,*
38259,56,*,*
38260,228,*,*
38261,"1,209","1,188",$643
38271,*,*,*
38281,*,*,*
38301,"3,712","3,621",$627
38302,*,*,*
38303,*,*,*
38305,"3,640","3,491",$618
38308,*,*,*
38310,444,432,$688
38311,87,*,*
38313,191,*,*
38314,*,*,*
38315,333,*,*
38316,206,*,*
38317,182,*,*
38318,43,*,*
38320,763,742,$690
38321,212,*,*
38324,*,*,*
38326,195,*,*
38327,44,*,*
38328,80,*,*
38329,246,*,*
38330,271,*,*
38332,76,*,*
38333,36,*,*
38334,131,*,*
38337,95,*,*
38338,*,*,*
38339,58,*,*
38340,724,710,$661
38341,220,*,*
38342,141,*,*
38343,"1,302","1,256",$644
38344,598,578,$652
38345,121,*,*
38347,21,*,*
38348,64,*,*
38351,"1,416","1,384",$654
38352,33,*,*
38355,333,318,$570
38356,129,*,*
38357,208,*,*
38358,880,860,$631
38359,39,*,*
38361,86,*,*
38362,88,*,*
38363,451,434,$649
38365,*,*,*
38366,156,*,*
38367,166,*,*
38368,132,*,*
38369,108,*,*
38370,58,*,*
38371,94,*,*
38372,"1,490","1,452",$668
38374,154,142,$687
38375,724,707,$674
38376,33,*,*
38378,*,*,*
38379,86,*,*
38380,46,*,*
38381,105,*,*
38382,668,650,$661
38387,28,*,*
38388,128,*,*
38389,*,*,*
38390,68,*,*
38391,107,*,*
38392,49,*,*
38401,"4,202","4,031",$645
38402,*,*,*
38425,130,*,*
38449,179,*,*
38450,232,*,*
38451,296,285,$696
38452,74,*,*
38453,42,*,*
38454,74,*,*
38455,14,*,*
38456,241,228,$748
38457,68,*,*
38459,19,*,*
38460,112,*,*
38461,106,*,*
38462,748,722,$707
38463,241,*,*
38464,"1,769","1,726",$683
38468,389,*,*
38469,273,*,*
38471,51,*,*
38472,198,*,*
38473,63,*,*
38474,604,584,$708
38475,48,*,*
38476,87,*,*
38477,193,*,*
38478,"1,374","1,330",$702
38481,85,*,*
38482,103,*,*
38483,401,*,*
38485,510,*,*
38486,80,*,*
38487,83,*,*
38488,167,*,*
38501,"2,875","2,776",$666
38502,*,*,*
38503,*,*,*
38504,84,*,*
38505,*,*,*
38506,"1,933","1,849",$696
38541,122,*,*
38542,*,*,*
38543,44,*,*
38544,610,592,$714
38545,124,*,*
38547,135,*,*
38548,83,*,*
38549,299,*,*
38550,*,*,*
38551,391,*,*
38552,37,*,*
38553,230,*,*
38554,101,*,*
38555,"1,449","1,413",$708
38556,"1,170","1,145",$769
38557,*,*,*
38558,410,384,$890
38559,111,*,*
38560,106,*,*
38562,488,*,*
38563,151,*,*
38564,48,*,*
38565,121,*,*
38567,62,*,*
38568,184,*,*
38569,21,*,*
38570,757,742,$729
38571,"1,077","1,042",$747
38572,926,910,$801
38573,167,*,*
38574,677,*,*
38575,93,*,*
38577,95,*,*
38578,*,*,*
38579,89,*,*
38580,140,*,*
38581,331,*,*
38582,100,*,*
38583,"2,340","2,274",$730
38585,294,*,*
38587,130,*,*
38588,106,*,*
38589,29,*,*
38601,237,*,*
38603,282,*,*
38606,"1,705","1,680",$580
38610,316,*,*
38611,"1,639","1,602",$567
38614,"2,450","2,408",$591
38617,122,*,*
38618,"1,057","1,041",$580
38619,614,*,*
38620,412,*,*
38621,186,*,*
38622,89,*,*
38623,33,*,*
38625,84,*,*
38626,119,*,*
38627,85,*,*
38628,*,*,*
38629,138,*,*
38630,*,*,*
38631,149,*,*
38632,"1,615","1,540",$533
38633,233,*,*
38634,*,*,*
38635,"1,512","1,492",$588
38637,"2,425","2,369",$525
38638,*,*,*
38639,167,*,*
38641,185,171,$559
38642,291,*,*
38643,304,*,*
38644,47,*,*
38645,139,*,*
38646,327,*,*
38647,122,*,*
38649,*,*,*
38650,328,*,*
38651,469,449,$550
38652,"1,430","1,409",$568
38654,"3,846","3,698",$526
38655,"2,581","2,481",$537
38658,244,*,*
38659,196,*,*
38661,186,*,*
38663,"1,134","1,115",$587
38664,434,*,*
38665,222,*,*
38666,914,899,$612
38668,"1,152","1,134",$543
38669,*,*,*
38670,171,*,*
38671,"2,952","2,867",$535
38672,"1,121","1,077",$499
38673,88,*,*
38674,82,*,*
38676,810,795,$580
38677,*,*,*
38679,*,*,*
38680,505,*,*
38683,532,*,*
38685,123,*,*
38686,*,*,*
38701,"2,855","2,800",$605
38702,*,*,*
38703,"1,705","1,677",$609
38704,14,*,*
38720,71,*,*
38721,125,*,*
38722,50,*,*
38723,*,*,*
38725,104,*,*
38726,62,*,*
38730,130,*,*
38731,*,*,*
38732,"1,743","1,704",$593
38733,*,*,*
38736,60,*,*
38737,441,*,*
38738,*,*,*
38739,*,*,*
38740,63,*,*
38744,96,*,*
38745,14,*,*
38746,66,*,*
38748,451,*,*
38749,*,*,*
38751,"1,744","1,720",$604
38753,144,*,*
38754,201,*,*
38756,749,735,$621
38759,147,*,*
38760,65,*,*
38761,335,*,*
38762,334,*,*
38764,61,*,*
38765,*,*,*
38767,*,*,*
38768,15,*,*
38769,263,*,*
38771,587,*,*
38772,*,*,*
38773,362,*,*
38774,368,*,*
38776,*,*,*
38778,207,*,*
38780,*,*,*
38781,49,*,*
38782,*,*,*
38801,"3,482","3,439",$561
38802,19,*,*
38803,11,*,*
38804,"1,713","1,686",$569
38820,*,*,*
38821,"1,351","1,328",$579
38824,786,*,*
38825,*,*,*
38826,484,*,*
38827,205,*,*
38828,409,*,*
38829,"1,733","1,711",$586
38833,230,*,*
38834,"2,801","2,747",$571
38835,*,*,*
38838,138,*,*
38839,27,*,*
38841,286,*,*
38843,898,884,$581
38844,20,*,*
38846,222,*,*
38847,279,*,*
38848,89,*,*
38849,520,508,$556
38850,393,*,*
38851,"1,092","1,077",$563
38852,836,822,$606
38855,403,*,*
38856,95,*,*
38857,333,*,*
38858,821,*,*
38859,52,*,*
38860,932,*,*
38862,264,*,*
38863,"1,802","1,781",$577
38864,121,*,*
38865,490,*,*
38866,"1,011",988,$549
38868,666,*,*
38869,13,*,*
38870,198,*,*
38871,150,*,*
38873,239,*,*
38874,*,*,*
38876,126,*,*
38877,*,*,*
38878,293,*,*
38879,84,*,*
38880,*,*,*
38901,"1,918","1,887",$579
38902,*,*,*
38913,34,*,*
38914,52,*,*
38915,358,*,*
38916,521,*,*
38917,206,*,*
38920,58,*,*
38921,587,*,*
38922,373,*,*
38923,88,*,*
38924,81,*,*
38925,220,*,*
38927,115,*,*
38928,70,*,*
38929,160,*,*
38930,"2,748","2,706",$612
38935,*,*,*
38940,211,*,*
38941,554,543,$602
38943,53,*,*
38944,48,*,*
38945,*,*,*
38946,63,*,*
38947,38,*,*
38948,202,*,*
38949,*,*,*
38950,30,*,*
38951,86,*,*
38952,65,*,*
38953,46,*,*
38954,132,*,*
38957,70,*,*
38958,*,*,*
38959,*,*,*
38961,108,*,*
38962,*,*,*
38963,313,*,*
38964,17,*,*
38965,790,776,$593
38966,116,*,*
38967,713,702,$609
39038,834,*,*
39039,177,*,*
39040,264,*,*
39041,360,*,*
39042,"1,717","1,662",$594
39043,*,*,*
39044,275,*,*
39045,150,*,*
39046,"2,967","2,914",$596
39047,"1,954","1,894",$575
39051,"1,452","1,425",$593
39054,48,*,*
39056,"1,979","1,939",$568
39057,181,*,*
39058,*,*,*
39059,"1,239","1,221",$627
39060,*,*,*
39061,*,*,*
39062,42,*,*
39063,390,*,*
39066,386,*,*
39067,119,*,*
39069,698,*,*
39071,436,424,$614
39073,"1,138","1,113",$609
39074,"1,452","1,422",$594
39077,*,*,*
39078,91,*,*
39079,204,*,*
39080,*,*,*
39082,84,*,*
39083,"1,140","1,112",$614
39086,241,*,*
39088,*,*,*
39090,"1,197","1,184",$592
39092,268,*,*
39094,397,*,*
39095,833,821,$618
39096,210,*,*
39097,85,*,*
39098,*,*,*
39107,*,*,*
39108,222,*,*
39110,"1,910","1,834",$564
39111,870,851,$609
39113,45,*,*
39114,856,841,$613
39115,16,*,*
39116,247,*,*
39117,915,*,*
39119,805,793,$604
39120,"2,914","2,859",$635
39121,*,*,*
39122,*,*,*
39130,*,*,*
39140,209,*,*
39144,147,*,*
39145,305,*,*
39146,303,*,*
39148,*,*,*
39149,153,*,*
39150,636,624,$612
39152,112,*,*
39153,291,*,*
39154,495,*,*
39156,33,*,*
39157,"1,513","1,462",$571
39158,*,*,*
39159,269,*,*
39160,290,*,*
39161,*,*,*
39162,18,*,*
39163,*,*,*
39165,*,*,*
39166,47,*,*
39167,14,*,*
39168,750,736,$613
39169,445,*,*
39170,582,570,$637
39173,*,*,*
39174,21,*,*
39175,404,*,*
39176,216,*,*
39177,*,*,*
39179,151,*,*
39180,"2,820","2,765",$621
39181,*,*,*
39182,*,*,*
39183,"1,055","1,029",$635
39189,354,*,*
39190,*,*,*
39191,709,*,*
39192,186,*,*
39193,*,*,*
39194,"1,885","1,862",$611
39201,98,*,*
39202,810,782,$589
39203,837,*,*
39204,"2,353","2,307",$603
39205,13,*,*
39206,"2,678","2,618",$596
39207,*,*,*
39208,"2,056","2,013",$579
39209,"3,632","3,558",$605
39210,*,*,*
39211,"1,689","1,623",$575
39212,"3,810","3,742",$598
39213,"2,815","2,760",$623
39215,*,*,*
39216,300,277,$572
39217,13,*,*
39218,518,*,*
39225,*,*,*
39232,471,460,$574
39236,*,*,*
39250,*,*,*
39269,*,*,*
39271,*,*,*
39272,"1,098","1,075",$594
39282,*,*,*
39283,*,*,*
39284,*,*,*
39286,*,*,*
39288,*,*,*
39289,*,*,*
39301,"2,841","2,787",$601
39302,12,*,*
39303,*,*,*
39304,*,*,*
39305,"1,667","1,629",$559
39307,"2,134","2,089",$588
39309,*,*,*
39320,107,*,*
39322,296,*,*
39323,97,*,*
39325,341,329,$615
39326,63,*,*
39327,288,*,*
39328,557,540,$618
39330,218,*,*
39332,122,*,*
39335,326,*,*
39336,148,*,*
39337,125,*,*
39338,406,*,*
