State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
ND,HC.gov,"25,594","44,778","41,609","38,308","3,610","38,535","7,014","31,521","21,019","10,502","6,790","14,229","1,541","3,978","6,414","8,376","11,543","15,541","37,098","37,277","37,406","37,576","38,000","38,535",$520 ,$132 ,"11,603","34,598","9,855",511,"5,263","3,237",844,"34,494",$433 ,$99 ,"9,169","3,285","5,687","6,060","4,895","9,243",196,"18,974","19,561","1,030",747,841,14,764,"21,921",125,621,"12,472",781,844,14,789,"22,456",229,679,"12,743","30,218","7,287","23,966","14,569",343,"14,616","9,520","14,056",+,412,"1,344","3,770","8,251","6,911","4,961","6,496","2,793","3,788","1,153","3,438",355,269,796,785,515,691,27,+,+,+,+,+,+,+,+,+,+,+
NE,HC.gov,"85,636","136,810","128,048","120,403","9,705","117,882","26,132","91,750","71,040","20,710","31,941","39,099","5,395","15,312","25,749","33,647","45,704","60,102","111,849","112,983","113,901","114,491","116,088","117,882",$670 ,$120 ,"43,798","111,769","35,856","1,937","11,494","21,855",570,"111,680",$580 ,$93 ,"20,821","10,831","16,686","20,795","19,674","28,357",718,"58,585","59,297","5,500",433,"2,320",31,"1,649","51,850",245,967,"54,887",489,"2,329",49,"1,702","53,985",811,"1,129","57,388","77,055","35,327","57,719","60,163",33,"69,146","36,639","12,064",+,457,"7,679","25,158","20,140","22,164","15,407","17,179","6,628","8,191","2,558","8,515","1,858",641,"1,305","1,693","1,409","1,527",82,+,+,+,+,+,+,+,+,+,+,+
NH,HC.gov,"54,962","78,647","72,730","58,968","6,891","65,117","13,709","51,408","29,901","21,507","10,177","19,724","2,684","6,964","11,468","14,608","19,584","25,474","62,569","62,905","63,114","63,329","63,826","65,117",$453 ,$202 ,"12,025","47,024","20,619","3,649","9,329","7,605",36,"46,775",$350 ,$124 ,"5,994","5,105","10,406","10,972","11,002","21,159",479,"30,861","34,256","2,055",60,"2,085",13,370,"38,533",373,700,"20,928",72,"2,090",18,412,"39,440",711,783,"21,591","50,034","13,028","27,619","37,498",454,"22,137","29,149","13,377",+,468,"2,490","8,484","11,132","8,604","6,540","10,200","5,122","6,244","8,323","10,127","1,301",704,"1,953","1,799","1,666","2,614",90,+,+,+,+,+,+,+,+,+,+,+
NJ,SBM,"359,504","546,078","459,800","405,609","64,525","397,942","100,919","297,023","60,592","236,431",NR,NR,"9,655","19,775","29,197","35,764","46,778","58,673","343,009","351,989","363,025","367,609","370,057","375,884",$661 ,$201 ,"63,311","351,746","206,747",NR,NR,NR,NR,"351,652",$521 ,$156 ,"31,830","35,934","70,505","65,597","74,642","108,770","10,664","186,249","211,693","44,752",430,"52,420",532,"23,845","170,119","6,166","6,007","93,671",611,"52,613",768,"25,741","188,318","13,257","7,335",NR,NR,NR,NR,NR,988,"67,074","324,273","5,607",+,"17,601","37,105","69,867","84,524","58,023","41,009","55,586","22,765","23,393","25,174","124,298","11,481","11,559","27,411","22,451","21,707","26,380","3,309",+,+,+,+,+,+,+,+,+,+,+
NM,SBM,"49,859","68,251","67,918","52,400",NR,"56,472","11,348","45,124","20,654","24,470",NR,NR,"1,881","4,717","7,673","10,219","13,889","17,043","50,513","51,244","52,039","52,604","53,781","56,472",$604 ,$151 ,"17,864","46,490","12,887",NR,NR,NR,NR,"46,456",$551 ,$80 ,"5,171","4,309","7,097","8,332","10,408","20,059","1,096","25,343","31,129","9,771",994,"2,197",14,543,"24,382",476,817,"17,278","1,120","2,221",15,607,"30,712",839,984,NR,NR,NR,NR,NR,+,"2,418","13,514","40,540",+,933,"3,940","6,747","10,923","9,466","7,040","7,720","3,216","3,518","6,909","15,026","1,750","1,144","2,537","2,587","2,566","4,206",236,+,+,+,+,+,+,+,+,+,+,+
NV,SBM,"77,649","120,577","112,591","96,753","6,028","99,312","25,553","73,759","22,965","50,794",NR,NR,"3,743","8,317","12,110","14,570","19,188","23,968","90,836","92,098","93,283","94,579","96,706","99,312",$530 ,$154 ,"13,862","85,410","48,129",NR,NR,NR,NR,"85,178",$438 ,$103 ,"15,374","7,535","13,128","16,125","17,366","27,492","2,279","46,404","52,908","9,029",520,"15,980",230,"3,060","34,286","1,654","3,404","31,149",520,"15,980",230,"3,060","34,286","2,302","9,206",NR,NR,NR,NR,NR,272,"36,499","58,066","4,475",+,"2,447","10,739","22,471","22,252","17,491","9,336","8,902","3,451","3,221","9,741","20,984","3,837","1,524","3,582","4,029","3,342","4,335",331,+,+,+,+,+,+,+,+,+,+,+
NY,SBM,"1,764,374","3,045,934","582,902","336,029",NR,"288,681","38,222","250,459","88,241","162,218",NR,NR,0,0,"14,452","27,421","43,296","61,475","270,596","274,398","277,293","279,728","279,879","282,764",$714 ,$410 ,"16,386","205,574","64,097",NR,NR,NR,NR,"205,574",$455 ,$247 ,"9,541","24,411","54,974","52,328","56,193","87,370","3,864","138,026","150,655","31,994",382,"29,131",195,"17,730","170,239","6,329","6,063","26,618",491,"29,283",287,"19,178","179,688","17,087","7,286",NR,NR,NR,NR,NR,"2,994","135,986","105,329","28,060","16,312",269,491,702,"1,011","62,043","47,398","53,159","20,888","20,104","83,107","26,096","1,079","2,061","5,801","5,584","4,922","6,476",173,"1,198,396","8,571","1,189,825",0,"179,382","293,232","286,621","243,000","196,161","582,979","615,417"
OH,HC.gov,"434,965","571,365","534,397","477,830","40,731","477,793","141,893","335,900","219,367","116,533","108,794","110,573","22,622","65,656","109,546","137,003","176,292","219,601","439,155","447,498","452,844","459,517","468,396","477,793",$581 ,$136 ,"206,432","427,501","183,635","19,449","50,241","113,735",210,"426,977",$498 ,$81 ,"44,881","39,605","73,190","85,876","90,703","139,058","4,480","241,633","236,160","9,955",298,"12,117",59,"16,787","161,220","1,859","3,802","271,696",373,"12,152",72,"17,070","165,662","3,094","4,221","275,149","291,339","176,499","99,079","378,714","2,342","241,564","211,342","22,545",+,"2,771","49,266","166,814","100,062","64,466","36,840","40,623","17,021","20,756","28,440","38,532","4,399","2,577","7,398","7,122","6,597","9,950",489,+,+,+,+,+,+,+,+,+,+,+
OK,HC.gov,"235,842","322,705","303,997","290,452","21,307","277,436","68,787","208,649","133,624","75,025","74,304","59,320","13,530","37,367","65,740","82,720","102,863","125,572","260,692","264,374","267,008","269,092","273,288","277,436",$632 ,$79 ,"155,820","268,796","138,774","4,107","26,136","75,040","33,491","266,919",$575 ,$57 ,"31,570","25,757","42,520","58,495","55,590","61,051","2,453","135,211","142,225","12,142","24,836","7,165",92,"4,957","64,752",689,"7,281","155,522","25,185","7,205",102,"5,082","70,313","2,003","7,795","159,751","158,923","106,371","120,899","156,537",318,"128,536","109,543","39,039",+,"1,713","42,707","120,013","65,977","39,446","20,597","15,038","5,261","5,856","3,535","31,527","6,478","2,540","4,684","5,854","5,046","6,681",244,+,+,+,+,+,+,+,+,+,+,+
OR,HC.gov,"127,103","183,319","165,241","141,604","20,391","145,509","29,960","115,549","83,751","31,798","24,801","58,950","7,545","17,879","28,939","35,818","48,152","63,847","140,075","140,755","140,539","140,771","142,724","145,509",$655 ,$231 ,"21,955","118,167","39,327","9,783","18,432","9,991","1,121","117,714",$524 ,$164 ,"11,781","9,204","20,439","25,987","28,611","48,137","1,350","66,044","79,465","8,918",755,"9,353",208,"1,422","86,343","1,076","3,970","33,464",862,"9,434",233,"1,492","89,991","2,252","4,575","36,670","116,964","19,627","32,486","113,023",+,"65,644","55,874","23,991",+,697,"3,030","11,190","23,021","22,024","17,222","28,281","13,896","18,756","10,422","36,626","2,373","2,263","7,191","8,369","7,088","9,024",318,+,+,+,+,+,+,+,+,+,+,+
