State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
PA,SBM,"406,494","573,014","532,451","462,276","38,827","434,571","89,745","344,826","77,309","267,517",NR,NR,"8,480","21,610","36,082","45,780","61,394","79,325","405,391","407,027","409,079","413,277","419,832","434,571",$641 ,$180 ,"84,480","378,447","128,273",NR,NR,NR,NR,"378,342",$530 ,$133 ,"29,509","33,454","70,070","71,757","76,969","147,870","4,942","202,242","232,329","19,141",508,"32,186",211,"16,559","266,340","5,666","5,343","88,617",582,"32,298",326,"17,253","273,034","9,614","5,957",NR,NR,NR,NR,NR,"1,258","100,226","148,314","184,773",+,"10,512","43,893","81,714","93,171","67,886","44,920","53,541","22,412","23,867","36,548","101,947","7,125","8,418","21,981","19,602","16,859","26,353","1,609",+,+,+,+,+,+,+,+,+,+,+
RI,SBM,"107,720","150,708","72,538","46,970","15,966","36,121","10,164","25,957","2,928","23,029",NR,NR,391,961,"1,519","2,122","2,961","3,772","31,483","32,532","33,154","30,521","32,659","33,907",$545 ,$152 ,"10,936","31,210","13,452",NR,NR,NR,NR,"31,196",$454 ,$106 ,"1,679","3,215","6,456","6,447","6,852","10,533",939,"16,254","19,863","4,673",76,"1,021",26,"1,309","15,299","1,180",34,"12,503",94,"1,110",99,"1,520","16,888","3,809",52,NR,NR,NR,NR,NR,+,"7,886","14,350","13,021",864,70,"3,969","6,117","8,500","5,859","4,032","4,223","1,665","1,752","3,903","20,044",805,"1,661","3,958","3,579","3,669","5,434",938,+,+,+,+,+,+,+,+,+,+,+
SC,HC.gov,"488,771","630,704","616,748","581,793","13,843","571,175","137,448","433,727","307,184","126,543","161,930","145,254","37,052","102,689","156,027","191,086","240,521","292,333","536,018","542,731","548,573","554,858","562,740","571,175",$599 ,$69 ,"337,379","547,462","243,616","6,364","30,706","206,155",391,"547,213",$553 ,$50 ,"47,387","60,875","96,720","111,570","115,990","133,697","4,936","278,177","292,998","30,522",565,"10,227",113,"31,985","127,455","2,410","3,128","364,770",634,"10,282",140,"32,333","143,165","4,522","3,495","376,604","296,746","243,907","123,164","448,011","2,296","293,049","250,303","25,527",+,"9,682","253,158","301,553","85,420","63,889","34,613","36,669","14,930","17,089","7,330","42,803","5,348","3,850","8,057","7,787","7,498","10,040",223,+,+,+,+,+,+,+,+,+,+,+
SD,HC.gov,"38,426","63,440","57,671","54,438","7,382","52,974","9,537","43,437","30,112","13,325","12,617","17,495","2,210","5,608","9,334","11,992","16,719","22,437","51,791","52,049","52,019","52,096","52,359","52,974",$695 ,$114 ,"19,159","50,575","20,081","3,019","7,623","7,754","1,685","50,436",$611 ,$92 ,"10,635","4,794","8,079","8,858","7,342","13,050",216,"25,760","27,214","1,573","1,446",768,7,433,"33,830",144,"1,025","13,748","1,502",774,12,439,"34,497",328,"1,113","14,309","43,503","7,898","33,974","19,000",276,"25,929","20,464","6,305",+,215,"4,508","8,821","9,608","10,781","7,344","8,232","3,602","3,730",641,"4,241",241,357,952,"1,025",692,941,33,+,+,+,+,+,+,+,+,+,+,+
TN,HC.gov,"503,071","639,948","618,664","569,965","21,170","555,103","154,054","401,049","273,806","127,243","161,365","112,441","35,837","103,945","149,583","183,821","228,165","274,381","513,742","521,347","527,427","535,370","545,599","555,103",$622 ,$73 ,"329,828","526,171","293,599","13,617","49,287","230,148",547,"525,633",$580 ,$45 ,"38,502","52,156","98,062","113,563","118,228","129,103","5,489","277,956","277,147","31,327",521,"12,315",73,"22,342","149,412","2,035","3,662","333,416",584,"12,377",97,"22,552","165,346","4,103","4,114","345,930","304,882","218,894","158,934","396,169",402,"223,916","316,386","14,399",+,"11,639","261,406","310,781","87,056","52,690","30,134","27,910","10,685","13,694","10,514","44,504","2,762","3,636","9,598","8,888","8,583","10,703",334,+,+,+,+,+,+,+,+,+,+,+
TX,HC.gov,"2,714,400","3,898,349","3,802,971","3,594,131","94,301","3,484,632","957,080","2,527,552","1,821,679","705,873","1,209,740","611,939","193,372","544,703","890,734","1,126,419","1,424,675","1,767,401","3,244,428","3,291,543","3,341,711","3,368,057","3,424,637","3,484,632",$566 ,$50 ,"2,158,968","3,359,306","1,697,497","23,928","181,570","1,485,222","6,777","3,357,161",$536 ,$33 ,"428,818","415,323","565,343","654,226","663,716","679,353","77,853","1,654,391","1,830,241","620,578","4,621","162,401",782,"143,046","390,260","10,777","18,481","2,133,686","7,335","163,581","1,004","146,850","694,165","47,431","24,659","2,399,607","1,247,267","1,616,787","473,635","3,010,997","2,182","570,001","1,722,670","1,189,779",+,"79,915","1,852,128","2,133,460","487,028","329,839","158,724","137,789","52,122","64,567","41,188","307,869","51,142","30,670","52,267","55,876","52,714","60,419","4,781",+,+,+,+,+,+,+,+,+,+,+
UT,HC.gov,"207,903","411,389","390,125","372,708","23,791","366,939","77,681","289,258","229,494","59,764","100,135","129,359","22,089","61,383","97,947","122,091","157,585","196,781","349,777","352,471","354,792","357,301","361,853","366,939",$468 ,$67 ,"183,736","350,446","197,064","13,343","50,265","131,311","2,145","349,705",$421 ,$48 ,"104,234","46,738","63,408","58,110","45,562","45,635","3,252","179,174","187,765","27,045","1,274","6,489",684,"1,084","101,252",766,"3,072","225,273","1,432","6,538",728,"1,177","110,289","4,112","3,752","238,911","172,424","167,470","53,331","313,608",+,"154,242","203,338","8,440",919,"7,789","51,421","133,065","63,739","54,772","35,969","35,573","14,056","15,485","6,491","40,317","11,054","3,757","8,255","7,205","5,119","4,710",217,+,+,+,+,+,+,+,+,+,+,+
VA,SBM,"305,574","471,975","440,929","393,663","29,497","400,058","57,029","343,029","73,105","269,924",NR,NR,"5,176","14,815","25,362","32,951","45,372","60,441","390,125","391,508","392,758","393,990","396,041","400,058",$473 ,$119 ,"137,980","351,570","130,496",NR,NR,NR,NR,"350,008",$405 ,$75 ,"51,966","37,200","58,560","68,155","73,872","99,924","10,381","190,840","209,218","16,954",546,"47,897",184,"25,992","153,446","2,524","6,164","146,351",671,"48,032",219,"26,489","161,184","3,944","6,765",NR,NR,NR,NR,NR,"1,795","160,289","138,917","94,941","4,116","20,661","56,894","110,912","76,514","60,046","35,792","37,897","15,343","18,504","24,389","71,291","8,716","5,725","12,851","12,784","12,418","17,017","1,780",+,+,+,+,+,+,+,+,+,+,+
VT,SBM,"40,607","63,654","38,629","30,553","23,624","30,027","4,982","25,045","2,080","22,965",NR,NR,976,"1,039","1,417","1,755","2,090","2,813","28,586","28,720","29,021","29,119","29,689","30,027",$874 ,$243 ,"3,598","26,688","8,354",NR,NR,NR,NR,"26,592",$702 ,$178 ,"1,815","2,527","4,734","5,305","5,645","9,656",345,"14,317","15,709",360,45,313,15,146,"15,511",210,+,"13,427",50,317,15,155,"15,709",303,+,NR,NR,NR,NR,NR,197,"9,486","12,726","6,251","1,367",393,840,"2,227","5,996","5,353","4,054","5,155","2,492","3,145","1,212","3,292",247,251,507,602,520,894,271,+,+,+,+,+,+,+,+,+,+,+
WA,SBM,"651,583","1,209,456","350,328","240,344","769,811","272,494","59,813","212,681","48,973","163,708",NR,NR,"7,245","16,539","24,687","30,296","41,566","55,388","252,590","254,511","256,859","260,821","268,527","272,494",$595 ,$271 ,"36,871","195,149","90,947",NR,NR,NR,NR,"194,683",$453 ,$160 ,"18,304","26,107","47,096","49,119","48,621","76,957","6,290","123,031","149,463","21,434","2,474","34,073","3,498","7,738","132,216","4,051","2,035","70,812","2,858","34,789","3,692","8,156","140,602","10,275","2,769",NR,NR,NR,NR,NR,368,"96,856","118,852","56,418",+,"11,823","5,192","21,588","56,342","42,270","23,347","33,913","16,887","23,106","43,218","86,797","12,844","8,549","17,411","16,084","13,277","16,174","2,458",+,+,+,+,+,+,+,+,+,+,+
WI,HC.gov,"228,442","308,786","292,080","263,501","18,750","266,327","60,605","205,722","148,437","57,285","58,816","89,621","13,159","35,590","58,854","74,595","99,950","128,589","251,594","254,482","256,280","258,528","261,948","266,327",$671 ,$166 ,"80,966","236,018","93,812","8,429","29,268","54,946","1,169","235,587",$572 ,$117 ,"17,426","19,876","36,459","39,928","44,476","106,526","1,636","127,285","139,042","8,139",858,"7,061",61,"4,944","140,672",756,"2,223","101,613",946,"7,108",79,"5,056","144,342","1,902","2,480","104,414","195,385","62,803","96,955","169,372","1,385","129,867","101,471","32,528","1,076","1,392","46,571","64,398","41,585","34,092","26,372","41,850","18,914","24,041","13,683","35,777","2,129","2,657","7,221","6,593","6,134","10,741",302,+,+,+,+,+,+,+,+,+,+,+
WV,HC.gov,"50,671","65,856","59,370","54,687","6,884","51,046","17,571","33,475","20,100","13,375","7,253","12,847","2,384","5,873","10,803","13,448","17,532","22,072","45,130","46,289","46,893","48,113","49,884","51,046","$1,119 ",$118 ,"25,293","49,372","19,394",930,"6,810","11,591",63,"49,334","$1,035 ",$88 ,"2,603","3,700","7,304","9,998","11,599","15,475",367,"24,621","26,425",641,73,828,3,610,"23,432",102,404,"24,953",77,830,4,621,"23,743",213,435,"25,123","34,017","16,388","22,101","28,945",66,"21,498","20,226","9,256",+,199,"4,714","17,243","11,592","6,756","4,220","5,309","2,242","2,826",659,"4,073",149,295,604,715,875,"1,359",76,+,+,+,+,+,+,+,+,+,+,+
WY,HC.gov,"31,536","50,678","47,935","43,855","2,796","42,293","8,861","33,432","24,314","9,118","9,952","14,362","2,217","5,370","8,615","10,673","14,463","19,136","40,539","40,747","40,800","40,729","41,428","42,293",$937 ,$118 ,"18,824","40,197","9,557",164,"2,651","6,313",429,"40,149",$863 ,$80 ,"6,470","3,864","6,595","7,209","6,620","11,365",170,"19,589","22,704","2,440",323,520,24,154,"28,403",158,769,"9,502",385,528,27,174,"29,709",440,920,"10,110","33,319","6,534","32,144","10,149",+,"8,096","9,390","24,807",+,390,"6,339","8,054","6,362","7,536","5,273","6,429","3,109","4,582",558,"7,300",579,684,"1,598","1,544","1,312","1,543",40,+,+,+,+,+,+,+,+,+,+,+
Total,HC.gov,"13,389,621","18,568,083","17,795,305","16,710,424","831,411","16,363,133","4,226,461","12,136,672","8,511,722","3,624,950","4,682,452","3,829,270","940,618","2,560,855","4,081,149","5,128,653","6,524,701","8,089,312","15,334,922","15,538,052","15,715,296","15,839,108","16,091,581","16,363,133",$602 ,$81 ,"8,327,152","15,541,871","8,666,891","353,374","1,494,335","6,754,804","64,378","15,524,292",$548 ,$56 ,"1,733,414","1,737,891","2,670,288","3,119,284","3,160,456","3,678,763","263,037","7,889,351","8,473,782","1,741,096","51,666","540,852","5,164","776,332","3,552,802","64,123","117,777","9,513,321","58,133","544,497","6,408","793,021","4,358,804","180,653","140,377","10,281,240","7,577,993","7,044,044","2,974,879","13,388,254","23,767","5,230,526","9,043,201","2,040,145","25,494","253,818","6,563,027","8,705,460","2,649,643","1,644,489","937,129","972,829","392,360","489,112","318,293","1,424,939","165,845","126,252","259,120","271,025","258,496","327,462","16,739",+,+,+,+,+,+,+,+,+,+,+
Total,SBM,"10,405,963","19,468,400","8,058,936","5,706,806",NR,"5,083,017","989,303","4,093,714","1,147,643","2,946,071",NR,NR,"327,948","501,962","674,248","775,199","939,643","1,124,321","4,758,746","4,815,409","4,857,376","4,867,384","4,925,889","5,000,864",$615 ,$207 ,"1,036,747","4,229,948","1,979,727",NR,NR,NR,NR,"4,219,397",$492 ,$139 ,"425,205","452,947","863,928","860,016","927,933","1,458,122","94,853","2,398,827","2,684,123","637,700","12,813","651,859","7,298","216,204","2,107,018","155,728","91,862","1,208,372",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"34,987","1,467,627","2,633,208","846,169","101,026","130,091","296,766","702,003","1,012,531","824,845","592,934","664,241","281,648","336,804","537,920","1,142,772","98,052","97,951","248,761","215,853","191,496","259,589","31,066","1,302,034",NR,NR,"1,751","193,114","317,871","312,588","261,324","215,386","630,507","671,527"
Total,All,"23,795,584","38,036,483","25,854,241","22,417,230",NR,"21,446,150","5,215,764","16,230,386","9,659,365","6,571,021",NR,NR,"1,268,566","3,062,817","4,755,397","5,903,852","7,464,344","9,213,633","20,093,668","20,353,461","20,572,672","20,706,492","21,017,470","21,363,997",$605 ,$111 ,"9,363,899","19,771,819","10,646,618",NR,NR,NR,NR,"19,743,689",$536 ,$74 ,"2,158,619","2,190,838","3,534,216","3,979,300","4,088,389","5,136,885","357,890","10,288,178","11,157,905","2,378,796","64,479","1,192,711","12,462","992,536","5,659,820","219,851","209,639","10,721,693",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"58,754","6,698,153","11,676,409","2,886,314","126,520","383,909","6,859,793","9,407,463","3,662,174","2,469,334","1,530,063","1,637,070","674,008","825,916","856,213","2,567,711","263,897","224,203","507,881","486,878","449,992","587,051","47,805","1,302,034",NR,NR,"1,751","193,114","317,871","312,588","261,324","215,386","630,507","671,527"
